,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,Cheat Sheet
213,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,217.0,24.0,5208,Good
214,2020-03-25 00:00:00,Banner Hospital,Acute Care,N95 Duck Bill Small,SNS,N95,1.0,35.0,35,Good
215,2020-03-25 00:00:00,Banner Hospital,Acute Care,N95 Duck Bill Reg,SNS,N95,1.0,35.0,35,Good
219,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,371.0,30.0,11130,Good
227,2020-03-25 00:00:00,Dignity Health,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,105.0,50.0,5250,Good
233,2020-03-25 00:00:00,Dignity Health,Acute Care,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,1.0,1.0,1,Good
234,2020-03-25 00:00:00,Dignity Health,Acute Care,"Impermeable coverall without integrated hood, Large",SNS,Alt. Gowns,3.0,1.0,3,Good
236,2020-03-25 00:00:00,Dignity Health,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
237,2020-03-25 00:00:00,Dignity Health,Acute Care,"Impermeable coverall without integrated hood, 3X-Large",SNS,Alt. Gowns,3.0,1.0,3,Good
238,2020-03-25 00:00:00,Dignity Health,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,18.0,30.0,540,Good
239,2020-03-25 00:00:00,Dignity Health,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,19.0,30.0,570,Good
240,2020-03-25 00:00:00,Dignity Health,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,29.0,18.0,522,Good
241,2020-03-25 00:00:00,Dignity Health,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,9.0,100.0,900,Good
251,2020-03-25 00:00:00,Dignity Health,Acute Care,N95 Duck Bill Small,SNS,N95,1.0,35.0,35,Good
252,2020-03-25 00:00:00,Dignity Health,Acute Care,N95 Duck Bill Reg,SNS,N95,1.0,35.0,35,Good
256,2020-03-25 00:00:00,Dignity Health,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,143.0,30.0,4290,Good
264,2020-03-25 00:00:00,Honor Health,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,126.0,50.0,6300,Good
270,2020-03-25 00:00:00,Honor Health,Acute Care,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,1.0,1.0,1,Good
271,2020-03-25 00:00:00,Honor Health,Acute Care,"Impermeable coverall without integrated hood, Large",SNS,Alt. Gowns,4.0,1.0,4,Good
272,2020-03-25 00:00:00,Honor Health,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,4.0,1.0,4,Good
273,2020-03-25 00:00:00,Honor Health,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,2.0,1.0,2,Good
275,2020-03-25 00:00:00,Honor Health,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,21.0,30.0,630,Good
276,2020-03-25 00:00:00,Honor Health,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,22.0,30.0,660,Good
277,2020-03-25 00:00:00,Honor Health,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,35.0,18.0,630,Good
278,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,10.0,100.0,1000,Good
279,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,13.0,100.0,1300,Good
280,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,18.0,100.0,1800,Good
282,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,6.0,100.0,600,Good
283,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, (NITRILE), Large",SNS,Gloves,11.0,100.0,1100,Good
285,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,6.0,100.0,600,Good
286,2020-03-25 00:00:00,Honor Health,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,6.0,100.0,600,Good
287,2020-03-25 00:00:00,Honor Health,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,100.0,24.0,2400,Good
288,2020-03-25 00:00:00,Honor Health,Acute Care,N95 Duck Bill Small,SNS,N95,1.0,35.0,35,Good
289,2020-03-25 00:00:00,Honor Health,Acute Care,N95 Duck Bill Reg,SNS,N95,1.0,35.0,35,Good
293,2020-03-25 00:00:00,Honor Health,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,171.0,30.0,5130,Good
301,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,35.0,50.0,1750,Good
308,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Impermeable coverall without integrated hood, Large",SNS,Alt. Gowns,1.0,1.0,1,Good
309,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
310,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
312,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,6.0,30.0,180,Good
313,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,6.0,30.0,180,Good
314,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,10.0,18.0,180,Good
315,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,3.0,100.0,300,Good
316,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,3.0,100.0,300,Good
317,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,5.0,100.0,500,Good
319,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
320,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, (NITRILE), Large",SNS,Gloves,3.0,100.0,300,Good
322,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,2.0,100.0,200,Good
323,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,2.0,100.0,200,Good
324,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,28.0,24.0,672,Good
330,2020-03-25 00:00:00,Mayo Hospital ,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,48.0,30.0,1440,Good
338,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,14.0,50.0,700,Good
346,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
349,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,2.0,30.0,60,Good
350,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,3.0,30.0,90,Good
351,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,4.0,18.0,72,Good
352,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,100.0,100.0,10000,Good
353,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
354,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
356,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
357,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, (NITRILE), Large",SNS,Gloves,1.0,100.0,100,Good
359,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
360,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
361,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,12.0,24.0,288,Good
367,2020-03-25 00:00:00,Phoenix Childrens Hospital,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,19.0,30.0,570,Good
375,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,21.0,50.0,1050,Good
383,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
384,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
386,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,4.0,30.0,120,Good
387,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,4.0,30.0,120,Good
388,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,6.0,18.0,108,Good
389,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
390,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
391,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,3.0,100.0,300,Good
393,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
394,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
396,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
397,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
404,2020-03-25 00:00:00,Stewart Hospital,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,29.0,30.0,870,Good
412,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,35.0,50.0,1750,Good
420,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
421,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
422,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Impermeable coverall without integrated hood, 3X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
423,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,6.0,30.0,180,Good
424,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,6.0,30.0,180,Good
425,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,10.0,18.0,180,Good
426,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,3.0,100.0,300,Good
427,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,3.0,100.0,300,Good
430,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
433,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,2.0,100.0,200,Good
434,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,2.0,100.0,200,Good
435,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,28.0,24.0,672,Good
441,2020-03-25 00:00:00,Valleywise Hospital,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,48.0,30.0,1440,Good
449,2020-03-27 00:00:00,Allegiant,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,7.0,50.0,350,Good
461,2020-03-27 00:00:00,Allegiant,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,4.0,30.0,120,Good
472,2020-03-27 00:00:00,Allegiant,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,6.0,24.0,144,Good
478,2020-03-27 00:00:00,Allegiant,LTCF,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,10.0,30.0,300,Good
515,2020-03-27 00:00:00,Correctional Health,County,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,19.0,30.0,570,no delivered ticket
523,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,105.0,50.0,5250,Good
534,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gown, Surgical, Sterile, Large",SNS,Gowns,3.0,30.0,90,Good
535,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gown, Surgical, Sterile, XL",SNS,Gowns,3.0,30.0,90,Good
536,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,4.0,18.0,72,Good
538,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
539,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
541,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
542,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
544,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
545,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
552,2020-03-27 00:00:00,Esign Alta Hospital,LCTF,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,19.0,30.0,570,Good
560,2020-03-27 00:00:00,MCDHS,County,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,Surgical Masks,8.0,50.0,400,Good
671,2020-03-27 00:00:00,The Groves,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,12.0,50.0,600,Good
675,2020-03-27 00:00:00,The Groves,LTCF,"Masks, N95, Small",Maricopa,N95,30.0,20.0,600,Good
689,2020-03-27 00:00:00,The Groves,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
690,2020-03-27 00:00:00,The Groves,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
712,2020-03-27 00:00:00,Vitalant Blood,FQHC,"Masks, N95, Small",Maricopa,N95,24.0,20.0,480,Good
725,2020-03-27 00:00:00,Vitalant Blood,FQHC,"Gloves, (NITRILE), Small",SNS,Gloves,2.0,100.0,200,Good
726,2020-03-27 00:00:00,Vitalant Blood,FQHC,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
727,2020-03-27 00:00:00,Vitalant Blood,FQHC,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
745,2020-04-06 00:00:00,Allegiant,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
749,2020-04-06 00:00:00,Allegiant,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
750,2020-04-06 00:00:00,Allegiant,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
756,2020-04-06 00:00:00,Allegiant,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
757,2020-04-06 00:00:00,Allegiant,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
758,2020-04-06 00:00:00,Allegiant,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
759,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
760,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
761,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
762,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
763,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
767,2020-04-06 00:00:00,Allegiant,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
768,2020-04-06 00:00:00,Allegiant,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,7.0,24.0,168,Good
782,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
786,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Masks, N95, Small",SNS,N95,1.0,20.0,20,Good
787,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Masks, N95, Med/Large",SNS,N95,17.0,20.0,340,Good
793,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
794,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
795,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
796,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
797,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
798,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
799,2020-04-06 00:00:00,Mariposa Point of Mesa,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
