,category,qty out,release date,year,month,week,yaerweek
89,surgical mask,1100.0,2021-01-19,2021,1,3,2021_3
90,surgical mask,500.0,2021-01-19,2021,1,3,2021_3
91,surgical mask,200.0,2021-01-19,2021,1,3,2021_3
92,surgical mask,900.0,2021-01-19,2021,1,3,2021_3
93,surgical mask,1000.0,2021-01-21,2021,1,3,2021_3
94,surgical mask,1000.0,2021-01-21,2021,1,3,2021_3
95,surgical mask,400.0,2021-01-25,2021,1,4,2021_4
96,surgical mask,1000.0,2021-01-25,2021,1,4,2021_4
97,surgical mask,300.0,2021-01-27,2021,1,4,2021_4
98,surgical mask,1800.0,2021-01-29,2021,1,4,2021_4
99,surgical mask,2500.0,2021-02-01,2021,2,5,2021_5
100,surgical mask,2500.0,2021-02-01,2021,2,5,2021_5
107,surgical mask,1000.0,2020-07-09,2020,7,28,2020_28
108,surgical mask,6000.0,2021-01-13,2021,1,2,2021_2
109,surgical mask,3000.0,2021-01-14,2021,1,2,2021_2
110,surgical mask,300.0,2021-01-14,2021,1,2,2021_2
111,surgical mask,1850.0,2021-02-01,2021,2,5,2021_5
112,surgical mask,100.0,2021-02-02,2021,2,5,2021_5
113,surgical mask,150.0,2021-02-02,2021,2,5,2021_5
114,surgical mask,1600.0,2021-02-02,2021,2,5,2021_5
115,surgical mask,200.0,2021-02-02,2021,2,5,2021_5
116,surgical mask,400.0,2021-02-02,2021,2,5,2021_5
117,surgical mask,100.0,2021-02-02,2021,2,5,2021_5
118,surgical mask,4000.0,2021-02-02,2021,2,5,2021_5
129,alt. gowns,1000.0,2020-06-24,2020,6,26,2020_26
130,alt. gowns,500.0,2020-08-19,2020,8,34,2020_34
136,goggles,100.0,2020-06-26,2020,6,26,2020_26
137,goggles,2600.0,2020-08-20,2020,8,34,2020_34
138,goggles,900.0,2020-12-31,2020,12,53,2020_53
140,surgical mask,1000.0,2020-12-29,2020,12,53,2020_53
141,surgical mask,3000.0,2020-12-29,2020,12,53,2020_53
142,surgical mask,2500.0,2020-12-29,2020,12,53,2020_53
143,surgical mask,600.0,2020-12-28,2020,12,53,2020_53
162,surgical mask,36000.0,2020-10-30,2020,10,44,2020_44
164,surgical mask,8000.0,2020-10-30,2020,10,44,2020_44
165,surgical mask,1400.0,2020-10-30,2020,10,44,2020_44
166,surgical mask,50.0,2020-11-03,2020,11,45,2020_45
167,surgical mask,2000.0,2020-11-04,2020,11,45,2020_45
168,surgical mask,1000.0,2020-11-09,2020,11,46,2020_46
169,surgical mask,1000.0,2020-11-09,2020,11,46,2020_46
170,surgical mask,200.0,2020-11-09,2020,11,46,2020_46
171,surgical mask,600.0,2020-11-09,2020,11,46,2020_46
172,surgical mask,600.0,2020-11-10,2020,11,46,2020_46
173,surgical mask,2000.0,2020-11-13,2020,11,46,2020_46
174,surgical mask,1200.0,2020-11-16,2020,11,47,2020_47
175,surgical mask,200.0,2020-11-18,2020,11,47,2020_47
176,surgical mask,300.0,2020-12-03,2020,12,49,2020_49
177,surgical mask,8000.0,2020-12-07,2020,12,50,2020_50
178,surgical mask,300.0,2020-12-07,2020,12,50,2020_50
179,surgical mask,3000.0,2020-12-08,2020,12,50,2020_50
180,surgical mask,500.0,2020-12-09,2020,12,50,2020_50
181,surgical mask,1500.0,2020-12-14,2020,12,51,2020_51
182,surgical mask,200.0,2020-12-15,2020,12,51,2020_51
183,surgical mask,2000.0,2020-12-15,2020,12,51,2020_51
184,surgical mask,300.0,2020-12-16,2020,12,51,2020_51
185,surgical mask,1000.0,2020-12-17,2020,12,51,2020_51
203,surgical mask,1400.0,2020-08-11,2020,8,33,2020_33
204,surgical mask,1000.0,2020-08-12,2020,8,33,2020_33
205,surgical mask,1500.0,2020-08-11,2020,8,33,2020_33
206,surgical mask,3600.0,2020-08-27,2020,8,35,2020_35
208,surgical mask,500.0,2020-10-15,2020,10,42,2020_42
209,surgical mask,100.0,2020-10-27,2020,10,44,2020_44
210,surgical mask,1000.0,2020-10-30,2020,10,44,2020_44
211,surgical mask,2000.0,2020-11-09,2020,11,46,2020_46
212,surgical mask,150.0,2020-11-10,2020,11,46,2020_46
213,surgical mask,400.0,2020-11-18,2020,11,47,2020_47
220,surgical mask,5000.0,2020-09-10,2020,9,37,2020_37
221,surgical mask,200.0,2020-10-09,2020,10,41,2020_41
222,n95,60.0,2020-07-13,2020,7,29,2020_29
223,n95,20.0,2020-07-13,2020,7,29,2020_29
224,n95,760.0,2020-07-13,2020,7,29,2020_29
225,n95,500.0,2020-07-13,2020,7,29,2020_29
226,n95,1000.0,2020-07-14,2020,7,29,2020_29
227,n95,500.0,2020-07-14,2020,7,29,2020_29
228,n95,200.0,2020-07-14,2020,7,29,2020_29
229,n95,100.0,2020-07-15,2020,7,29,2020_29
230,n95,500.0,2020-07-16,2020,7,29,2020_29
231,n95,160.0,2020-07-16,2020,7,29,2020_29
232,n95,100.0,2020-07-16,2020,7,29,2020_29
233,n95,300.0,2020-07-16,2020,7,29,2020_29
234,n95,100.0,2020-07-20,2020,7,30,2020_30
235,n95,1000.0,2020-07-20,2020,7,30,2020_30
236,n95,80.0,2020-07-20,2020,7,30,2020_30
237,n95,300.0,2020-07-21,2020,7,30,2020_30
238,n95,200.0,2020-07-20,2020,7,30,2020_30
239,n95,1120.0,2020-07-23,2020,7,30,2020_30
240,n95,50.0,2020-07-24,2020,7,30,2020_30
241,n95,1000.0,2020-07-24,2020,7,30,2020_30
242,n95,200.0,2020-07-27,2020,7,31,2020_31
243,n95,300.0,2020-07-27,2020,7,31,2020_31
244,n95,200.0,2020-07-27,2020,7,31,2020_31
245,n95,100.0,2020-07-27,2020,7,31,2020_31
246,n95,200.0,2020-07-23,2020,7,30,2020_30
247,n95,200.0,2020-07-28,2020,7,31,2020_31
248,n95,500.0,2020-07-27,2020,7,31,2020_31
249,n95,1500.0,2020-07-29,2020,7,31,2020_31
250,n95,500.0,2020-07-23,2020,7,30,2020_30
251,n95,500.0,2020-07-28,2020,7,31,2020_31
252,n95,500.0,2020-07-30,2020,7,31,2020_31
253,n95,200.0,2020-07-28,2020,7,31,2020_31
254,n95,300.0,2020-07-30,2020,7,31,2020_31
255,n95,20.0,2020-07-28,2020,7,31,2020_31
256,n95,160.0,2020-07-30,2020,7,31,2020_31
257,n95,140.0,2020-07-29,2020,7,31,2020_31
258,n95,500.0,2020-07-31,2020,7,31,2020_31
259,n95,300.0,2020-07-31,2020,7,31,2020_31
260,n95,200.0,2020-08-04,2020,8,32,2020_32
261,n95,80.0,2020-08-04,2020,8,32,2020_32
262,n95,200.0,2020-08-04,2020,8,32,2020_32
263,n95,100.0,2020-10-12,2020,10,42,2020_42
264,n95,240.0,2020-11-11,2020,11,46,2020_46
265,n95,20.0,2020-12-21,2020,12,52,2020_52
266,n95,60.0,2021-01-12,2021,1,2,2021_2
267,n95,1.0,2020-07-15,2020,7,29,2020_29
268,n95,1000.0,2020-09-10,2020,9,37,2020_37
269,n95,200.0,2020-07-20,2020,7,30,2020_30
270,n95,1000.0,2020-11-05,2020,11,45,2020_45
271,n95,2000.0,2020-11-09,2020,11,46,2020_46
272,n95,100.0,2020-11-09,2020,11,46,2020_46
273,n95,60.0,2020-11-10,2020,11,46,2020_46
274,n95,60.0,2020-11-10,2020,11,46,2020_46
275,n95,40.0,2020-11-10,2020,11,46,2020_46
276,n95,4200.0,2020-11-12,2020,11,46,2020_46
277,n95,400.0,2020-11-18,2020,11,47,2020_47
278,n95,100.0,2020-11-13,2020,11,46,2020_46
279,n95,200.0,2020-12-03,2020,12,49,2020_49
280,n95,20.0,2020-12-07,2020,12,50,2020_50
281,n95,300.0,2020-12-07,2020,12,50,2020_50
282,n95,300.0,2020-12-07,2020,12,50,2020_50
283,n95,100.0,2020-12-08,2020,12,50,2020_50
284,n95,200.0,2020-12-08,2020,12,50,2020_50
285,n95,20.0,2020-12-08,2020,12,50,2020_50
286,n95,3000.0,2020-12-08,2020,12,50,2020_50
287,n95,200.0,2020-12-09,2020,12,50,2020_50
288,n95,160.0,2020-12-10,2020,12,50,2020_50
289,n95,250.0,2020-12-14,2020,12,51,2020_51
290,n95,200.0,2020-12-14,2020,12,51,2020_51
291,n95,200.0,2020-12-15,2020,12,51,2020_51
292,n95,500.0,2020-12-15,2020,12,51,2020_51
293,n95,200.0,2020-12-15,2020,12,51,2020_51
294,n95,60.0,2020-12-16,2020,12,51,2020_51
295,n95,300.0,2020-12-21,2020,12,52,2020_52
296,n95,1000.0,2020-12-22,2020,12,52,2020_52
297,n95,1000.0,2020-12-22,2020,12,52,2020_52
298,n95,200.0,2020-12-22,2020,12,52,2020_52
299,n95,2000.0,2020-12-22,2020,12,52,2020_52
300,n95,20.0,2020-12-28,2020,12,53,2020_53
301,n95,40.0,2020-12-28,2020,12,53,2020_53
302,n95,300.0,2020-12-28,2020,12,53,2020_53
303,n95,20.0,2020-12-28,2020,12,53,2020_53
304,n95,100.0,2020-12-31,2020,12,53,2020_53
305,n95,300.0,2021-01-04,2021,1,1,2021_1
306,n95,60.0,2021-01-04,2021,1,1,2021_1
307,n95,100.0,2021-01-05,2021,1,1,2021_1
308,n95,300.0,2021-01-06,2021,1,1,2021_1
309,n95,200.0,2021-01-07,2021,1,1,2021_1
310,n95,840.0,2021-01-12,2021,1,2,2021_2
311,n95,40.0,2021-02-01,2021,2,5,2021_5
313,n95,4000.0,2020-09-08,2020,9,37,2020_37
314,n95,1125.0,2020-09-14,2020,9,38,2020_38
315,n95,20.0,2020-09-30,2020,9,40,2020_40
316,n95,1000.0,2020-09-21,2020,9,39,2020_39
317,n95,280.0,2020-09-23,2020,9,39,2020_39
318,n95,1000.0,2020-09-23,2020,9,39,2020_39
319,n95,1500.0,2020-09-24,2020,9,39,2020_39
320,n95,200.0,2020-09-28,2020,9,40,2020_40
321,n95,460.0,2020-09-28,2020,9,40,2020_40
322,n95,480.0,2020-10-01,2020,10,40,2020_40
323,n95,1040.0,2020-10-01,2020,10,40,2020_40
324,n95,500.0,2020-10-05,2020,10,41,2020_41
325,n95,400.0,2020-10-06,2020,10,41,2020_41
326,n95,500.0,2020-09-29,2020,9,40,2020_40
327,n95,260.0,2020-10-15,2020,10,42,2020_42
328,n95,300.0,2020-10-15,2020,10,42,2020_42
329,n95,500.0,2020-10-19,2020,10,43,2020_43
330,n95,20.0,2020-10-20,2020,10,43,2020_43
331,n95,250.0,2020-10-21,2020,10,43,2020_43
332,n95,1400.0,2020-10-30,2020,10,44,2020_44
333,n95,100.0,2020-11-04,2020,11,45,2020_45
334,n95,2000.0,2020-12-21,2020,12,52,2020_52
335,n95,100.0,2020-11-09,2020,11,46,2020_46
336,n95,260.0,2020-12-22,2020,12,52,2020_52
337,n95,1000.0,2020-12-22,2020,12,52,2020_52
338,n95,500.0,2020-12-29,2020,12,53,2020_53
340,n95,69.0,2020-07-15,2020,7,29,2020_29
341,n95,300.0,2020-07-21,2020,7,30,2020_30
342,n95,500.0,2020-07-23,2020,7,30,2020_30
343,n95,300.0,2020-08-04,2020,8,32,2020_32
354,n95,20.0,2020-07-10,2020,7,28,2020_28
355,n95,300.0,2020-07-13,2020,7,29,2020_29
356,n95,200.0,2020-07-13,2020,7,29,2020_29
357,n95,60.0,2020-07-13,2020,7,29,2020_29
358,n95,300.0,2020-07-13,2020,7,29,2020_29
359,n95,500.0,2020-07-15,2020,7,29,2020_29
360,n95,1000.0,2020-09-02,2020,9,36,2020_36
361,n95,400.0,2020-09-22,2020,9,39,2020_39
362,n95,1200.0,2020-09-21,2020,9,39,2020_39
363,n95,60.0,2020-10-06,2020,10,41,2020_41
364,n95,60.0,2020-10-08,2020,10,41,2020_41
365,n95,60.0,2020-10-13,2020,10,42,2020_42
366,n95,400.0,2020-10-27,2020,10,44,2020_44
367,n95,240.0,2020-11-13,2020,11,46,2020_46
368,n95,100.0,2021-04-19,2021,4,16,2021_16
369,n95,60.0,2021-02-01,2021,2,5,2021_5
371,n95,200.0,2020-07-14,2020,7,29,2020_29
372,n95,120.0,2020-07-27,2020,7,31,2020_31
373,n95,60.0,2020-07-30,2020,7,31,2020_31
374,n95,100.0,2020-08-03,2020,8,32,2020_32
375,n95,900.0,2020-08-05,2020,8,32,2020_32
376,n95,900.0,2020-08-10,2020,8,33,2020_33
377,n95,100.0,2020-08-10,2020,8,33,2020_33
378,n95,100.0,2020-08-10,2020,8,33,2020_33
379,n95,600.0,2020-08-13,2020,8,33,2020_33
380,n95,1000.0,2020-08-17,2020,8,34,2020_34
381,n95,120.0,2020-08-25,2020,8,35,2020_35
382,n95,60.0,2020-09-10,2020,9,37,2020_37
389,goggles,300.0,2020-06-19,2020,6,25,2020_25
390,goggles,800.0,2020-06-26,2020,6,26,2020_26
391,goggles,300.0,2020-06-24,2020,6,26,2020_26
392,goggles,400.0,2020-07-06,2020,7,28,2020_28
393,goggles,250.0,2020-07-23,2020,7,30,2020_30
394,goggles,90.0,2020-08-13,2020,8,33,2020_33
395,goggles,180.0,2020-09-08,2020,9,37,2020_37
396,goggles,60.0,2020-09-23,2020,9,39,2020_39
397,goggles,1000.0,2020-10-19,2020,10,43,2020_43
398,goggles,120.0,2020-10-30,2020,10,44,2020_44
399,goggles,100.0,2020-12-03,2020,12,49,2020_49
400,goggles,10.0,2020-12-30,2020,12,53,2020_53
401,goggles,10.0,2020-12-30,2020,12,53,2020_53
404,goggles,500.0,2020-07-10,2020,7,28,2020_28
415,alt. gowns,1000.0,2020-08-04,2020,8,32,2020_32
417,alt. gowns,50.0,2020-10-20,2020,10,43,2020_43
420,alt. gowns,1500.0,2020-08-31,2020,8,36,2020_36
421,alt. gowns,3000.0,2020-09-10,2020,9,37,2020_37
424,alt. gowns,5000.0,2020-10-30,2020,10,44,2020_44
427,alt. gowns,2500.0,2021-01-27,2021,1,4,2021_4
436,alt. gowns,1000.0,2020-08-12,2020,8,33,2020_33
437,alt. gowns,2000.0,2020-12-17,2020,12,51,2020_51
438,alt. gowns,1180.0,2020-12-17,2020,12,51,2020_51
442,sanitizer,4.0,2020-07-01,2020,7,27,2020_27
444,sanitizer,60.0,2020-09-03,2020,9,36,2020_36
447,sanitizer,6.0,2020-07-09,2020,7,28,2020_28
448,sanitizer,10.0,2020-07-20,2020,7,30,2020_30
449,sanitizer,50.0,2020-09-08,2020,9,37,2020_37
451,sanitizer,20.0,2021-01-04,2021,1,1,2021_1
452,sanitizer,10.0,2021-01-05,2021,1,1,2021_1
463,n95,310.0,2020-08-04,2020,8,32,2020_32
464,n95,198.0,2020-08-04,2020,8,32,2020_32
465,n95,100.0,2020-08-04,2020,8,32,2020_32
466,n95,45.0,2020-08-13,2020,8,33,2020_33
467,n95,1000.0,2020-12-28,2020,12,53,2020_53
468,n95,3750.0,2021-01-13,2021,1,2,2021_2
476,n95,900.0,2021-01-14,2021,1,2,2021_2
477,n95,300.0,2021-01-14,2021,1,2,2021_2
486,n95,500.0,2021-01-14,2021,1,2,2021_2
487,n95,400.0,2021-01-18,2021,1,3,2021_3
488,n95,2000.0,2021-01-18,2021,1,3,2021_3
489,n95,750.0,2021-01-19,2021,1,3,2021_3
490,n95,100.0,2021-01-19,2021,1,3,2021_3
491,n95,80.0,2021-01-25,2021,1,4,2021_4
492,n95,500.0,2021-01-25,2021,1,4,2021_4
549,alt. gowns,500.0,2020-07-06,2020,7,28,2020_28
587,gown,1000.0,2020-07-01,2020,7,27,2020_27
588,gown,400.0,2020-12-17,2020,12,51,2020_51
589,gown,20.0,2020-12-22,2020,12,52,2020_52
590,gown,200.0,2020-12-29,2020,12,53,2020_53
624,n95,40.0,2020-06-29,2020,6,27,2020_27
625,n95,1000.0,2020-07-06,2020,7,28,2020_28
626,n95,900.0,2020-07-08,2020,7,28,2020_28
627,n95,2000.0,2020-07-08,2020,7,28,2020_28
628,n95,100.0,2020-07-20,2020,7,30,2020_30
630,other,500.0,2020-07-06,2020,7,28,2020_28
631,other,500.0,2020-07-06,2020,7,28,2020_28
632,other,1000.0,2020-07-21,2020,7,30,2020_30
633,other,1300.0,2020-08-13,2020,8,33,2020_33
634,other,300.0,2020-08-31,2020,8,36,2020_36
635,other,30000.0,2020-09-29,2020,9,40,2020_40
636,other,100.0,2020-12-15,2020,12,51,2020_51
637,other,500.0,2020-12-30,2020,12,53,2020_53
638,other,200.0,2020-12-31,2020,12,53,2020_53
639,other,300.0,2021-01-08,2021,1,1,2021_1
640,other,600.0,2021-01-25,2021,1,4,2021_4
802,alt. gowns,700.0,2020-09-24,2020,9,39,2020_39
821,alt. gowns,600.0,2020-07-16,2020,7,29,2020_29
922,goggles,2400.0,2020-07-28,2020,7,31,2020_31
925,n95,1000.0,2020-12-22,2020,12,52,2020_52
926,n95,160.0,2020-12-22,2020,12,52,2020_52
927,n95,100.0,2020-12-22,2020,12,52,2020_52
930,n95,100.0,2020-12-23,2020,12,52,2020_52
931,n95,300.0,2020-12-28,2020,12,53,2020_53
932,n95,200.0,2020-12-28,2020,12,53,2020_53
933,n95,200.0,2020-12-29,2020,12,53,2020_53
934,n95,300.0,2020-12-29,2020,12,53,2020_53
935,n95,400.0,2020-12-29,2020,12,53,2020_53
936,n95,200.0,2021-01-05,2021,1,1,2021_1
937,n95,640.0,2021-01-12,2021,1,2,2021_2
938,n95,1000.0,2021-01-12,2021,1,2,2021_2
941,n95,5000.0,2020-10-30,2020,10,44,2020_44
942,n95,2260.0,2020-11-09,2020,11,46,2020_46
943,n95,140.0,2020-11-16,2020,11,47,2020_47
944,n95,120.0,2020-12-07,2020,12,50,2020_50
945,n95,300.0,2020-12-14,2020,12,51,2020_51
946,n95,300.0,2020-12-16,2020,12,51,2020_51
947,n95,1000.0,2020-12-17,2020,12,51,2020_51
948,n95,360.0,2020-12-21,2020,12,52,2020_52
949,n95,500.0,2020-12-21,2020,12,52,2020_52
950,n95,500.0,2020-12-22,2020,12,52,2020_52
951,n95,1000.0,2020-12-22,2020,12,52,2020_52
952,sanitizer,8.0,2020-07-09,2020,7,28,2020_28
953,sanitizer,9.0,2020-07-09,2020,7,28,2020_28
954,sanitizer,2.0,2020-07-10,2020,7,28,2020_28
955,sanitizer,4.0,2020-07-23,2020,7,30,2020_30
956,sanitizer,150.0,2020-09-08,2020,9,37,2020_37
962,n95,20.0,2020-08-10,2020,8,33,2020_33
963,n95,60.0,2020-10-08,2020,10,41,2020_41
964,n95,300.0,2020-09-08,2020,9,37,2020_37
965,n95,600.0,2020-09-08,2020,9,37,2020_37
966,n95,60.0,2020-09-15,2020,9,38,2020_38
967,n95,60.0,2020-09-24,2020,9,39,2020_39
968,n95,180.0,2020-09-28,2020,9,40,2020_40
969,n95,500.0,2020-09-29,2020,9,40,2020_40
970,n95,400.0,2020-10-01,2020,10,40,2020_40
971,n95,1000.0,2020-10-01,2020,10,40,2020_40
972,n95,400.0,2020-10-05,2020,10,41,2020_41
973,n95,1000.0,2020-10-06,2020,10,41,2020_41
974,n95,460.0,2020-10-06,2020,10,41,2020_41
975,n95,900.0,2020-10-06,2020,10,41,2020_41
976,n95,240.0,2020-10-06,2020,10,41,2020_41
977,n95,200.0,2020-10-06,2020,10,41,2020_41
978,n95,220.0,2020-10-08,2020,10,41,2020_41
979,n95,500.0,2020-10-13,2020,10,42,2020_42
980,n95,20.0,2020-10-14,2020,10,42,2020_42
981,n95,20.0,2020-10-15,2020,10,42,2020_42
982,n95,60.0,2020-10-15,2020,10,42,2020_42
983,n95,100.0,2020-10-16,2020,10,42,2020_42
984,n95,200.0,2020-10-16,2020,10,42,2020_42
985,n95,500.0,2020-10-19,2020,10,43,2020_43
986,n95,1000.0,2020-10-19,2020,10,43,2020_43
987,n95,20.0,2020-10-20,2020,10,43,2020_43
989,n95,100.0,2020-10-20,2020,10,43,2020_43
991,n95,2000.0,2020-10-29,2020,10,44,2020_44
992,n95,460.0,2020-10-30,2020,10,44,2020_44
993,n95,400.0,2020-11-04,2020,11,45,2020_45
994,n95,1000.0,2020-11-09,2020,11,46,2020_46
995,n95,500.0,2020-11-04,2020,11,45,2020_45
996,n95,700.0,2020-12-22,2020,12,52,2020_52
997,n95,60.0,2020-12-22,2020,12,52,2020_52
999,n95,800.0,2020-12-30,2020,12,53,2020_53
1000,n95,50.0,2021-01-05,2021,1,1,2021_1
1001,n95,1000.0,2021-01-08,2021,1,1,2021_1
1025,coveralls,200.0,2020-07-06,2020,7,28,2020_28
1041,goggles,150.0,2021-01-12,2021,1,2,2021_2
1045,goggles,150.0,2020-09-03,2020,9,36,2020_36
1046,goggles,150.0,2020-09-04,2020,9,36,2020_36
1056,alt. gowns,175.0,2020-07-13,2020,7,29,2020_29
1057,alt. gowns,75.0,2020-07-20,2020,7,30,2020_30
1058,alt. gowns,20.0,2020-08-21,2020,8,34,2020_34
1059,alt. gowns,210.0,2020-08-21,2020,8,34,2020_34
1061,alt. gowns,250.0,2020-08-06,2020,8,32,2020_32
1062,alt. gowns,5.0,2020-08-10,2020,8,33,2020_33
1063,alt. gowns,200.0,2020-07-24,2020,7,30,2020_30
1064,alt. gowns,175.0,2020-07-24,2020,7,30,2020_30
1065,alt. gowns,500.0,2020-07-27,2020,7,31,2020_31
1066,alt. gowns,104.0,2020-07-30,2020,7,31,2020_31
1067,alt. gowns,250.0,2020-08-05,2020,8,32,2020_32
1070,alt. gowns,300.0,2020-08-10,2020,8,33,2020_33
1071,alt. gowns,100.0,2020-08-10,2020,8,33,2020_33
1072,alt. gowns,25.0,2020-08-10,2020,8,33,2020_33
1073,alt. gowns,25.0,2020-08-13,2020,8,33,2020_33
1074,alt. gowns,210.0,2020-08-21,2020,8,34,2020_34
1075,alt. gowns,25.0,2020-08-31,2020,8,36,2020_36
1085,n95,20.0,2021-01-13,2021,1,2,2021_2
1086,n95,200.0,2021-01-14,2021,1,2,2021_2
1087,n95,500.0,2021-01-18,2021,1,3,2021_3
1088,n95,300.0,2021-01-19,2021,1,3,2021_3
1089,n95,100.0,2021-01-19,2021,1,3,2021_3
1090,n95,250.0,2021-01-27,2021,1,4,2021_4
1091,n95,100.0,2021-01-27,2021,1,4,2021_4
1097,alt. gowns,500.0,2021-01-04,2021,1,1,2021_1
1098,alt. gowns,20.0,2021-01-04,2021,1,1,2021_1
1099,alt. gowns,60.0,2021-01-05,2021,1,1,2021_1
1100,alt. gowns,300.0,2021-01-05,2021,1,1,2021_1
1101,alt. gowns,60.0,2021-01-05,2021,1,1,2021_1
1102,alt. gowns,250.0,2021-01-06,2021,1,1,2021_1
1103,alt. gowns,100.0,2021-01-07,2021,1,1,2021_1
1107,alt. gowns,1400.0,2020-10-01,2020,10,40,2020_40
1111,alt. gowns,2000.0,2020-07-24,2020,7,30,2020_30
1112,alt. gowns,200.0,2020-07-27,2020,7,31,2020_31
1119,alt. gowns,160.0,2020-07-23,2020,7,30,2020_30
1122,sanitizer,20.0,2020-10-27,2020,10,44,2020_44
1123,sanitizer,200.0,2020-10-27,2020,10,44,2020_44
1124,sanitizer,40.0,2020-12-09,2020,12,50,2020_50
1125,sanitizer,20.0,2020-12-22,2020,12,52,2020_52
