,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,week_of_year
252,2020-03-16,Arizona Fire and Medical Authority,Ems,Disposable Gowns [440511],Maricopa,gowns,1.0,10.0,10,11
259,2020-03-16,Avondale Fire and Medical,Ems,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,2.0,50.0,100,11
288,2020-03-16,Avondale Fire and Medical,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,12.0,20.0,240,11
325,2020-03-16,City of Tolleson,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,6.0,20.0,120,11
326,2020-03-16,City of Tolleson,Ems,Disposable Gowns [440511],Maricopa,gowns,1.0,10.0,10,11
362,2020-03-16,Crossroads Pediatrics,Private practice,N95 Mask Universal [84A-3844],Maricopa,n95,6.0,20.0,120,11
370,2020-03-16,Hospice of the West,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,6.0,50.0,300,11
436,2020-03-17,Moutain Park Health Center,Ltcf,N95 Mask Universal [84A-3844],Maricopa,n95,17.0,20.0,340,11
444,2020-03-17,Page Family Practice,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,1.0,50.0,50,11
473,2020-03-17,Page Family Practice,Ltcf,N95 Mask Universal [84A-3844],Maricopa,n95,4.0,20.0,80,11
481,2020-03-17,Solace Hospice,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,1.0,50.0,50,11
510,2020-03-17,Solace Hospice,Ltcf,N95 Mask Universal [84A-3844],Maricopa,n95,4.0,20.0,80,11
519,2020-03-17,St. Elizabeth Home Health,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,1.0,50.0,50,11
548,2020-03-17,St. Elizabeth Home Health,Ltcf,N95 Mask Universal [84A-3844],Maricopa,n95,4.0,20.0,80,11
556,2020-03-17,Valley Home Health Care,Private practice,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,1.0,50.0,50,11
585,2020-03-17,Valley Home Health Care,Private practice,N95 Mask Universal [84A-3844],Maricopa,n95,2.0,20.0,40,11
593,2020-03-18,Warner Family Practice,Private practice,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,1.0,50.0,50,11
622,2020-03-18,Warner Family Practice,Private practice,N95 Mask Universal [84A-3844],Maricopa,n95,4.0,20.0,80,11
659,2020-03-19,Native Health,Fqhc,N95 Mask Universal [84A-3844],Maricopa,n95,12.0,20.0,240,11
698,2020-03-20,AZ Department of Public Safety,County,Stat Paq,AZ/MasCache,stat paq,2.0,1.0,2,11
721,2020-03-20,AZ Rangers East Valley Co.,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
722,2020-03-20,AZ Rangers East Valley Co.,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
723,2020-03-20,AZ Rangers East Valley Co.,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
735,2020-03-20,AZ Rangers East Valley Co.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,1.0,20.0,20,11
736,2020-03-20,AZ Rangers East Valley Co.,Ems,Stat Paq,AZ/MasCache,stat paq,2.0,1.0,2,11
772,2020-03-20,Buckeye Fire,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,5.0,20.0,100,11
773,2020-03-20,Buckeye Fire,Ems,Stat Paq,AZ/MasCache,stat paq,10.0,1.0,10,11
795,2020-03-20,Avondale Fire and Medical,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
796,2020-03-20,Avondale Fire and Medical,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
797,2020-03-20,Avondale Fire and Medical,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
809,2020-03-20,Avondale Fire and Medical,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,8.0,20.0,160,11
810,2020-03-20,Avondale Fire and Medical,Ems,Stat Paq,AZ/MasCache,stat paq,20.0,1.0,20,11
832,2020-03-20,El Mirage Fire Dept.,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
833,2020-03-20,El Mirage Fire Dept.,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
834,2020-03-20,El Mirage Fire Dept.,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
846,2020-03-20,El Mirage Fire Dept.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,1.0,20.0,20,11
847,2020-03-20,El Mirage Fire Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,5.0,1.0,5,11
869,2020-03-20,Goodyear Fire Dept.,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
870,2020-03-20,Goodyear Fire Dept.,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
871,2020-03-20,Goodyear Fire Dept.,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,10.0,100.0,1000,11
883,2020-03-20,Goodyear Fire Dept.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,7.0,20.0,140,11
884,2020-03-20,Goodyear Fire Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,25.0,1.0,25,11
906,2020-03-20,Honeywell Fire Dept.,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
907,2020-03-20,Honeywell Fire Dept.,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
908,2020-03-20,Honeywell Fire Dept.,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
920,2020-03-20,Honeywell Fire Dept.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,2.0,20.0,40,11
921,2020-03-20,Honeywell Fire Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,5.0,1.0,5,11
955,2020-03-20,Honor Health,Acute,N95 Mask Universal [84A-3844],SNS,n95,50.0,20.0,1000,11
980,2020-03-20,Maricopa Ambulance,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
981,2020-03-20,Maricopa Ambulance,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
982,2020-03-20,Maricopa Ambulance,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
994,2020-03-20,Maricopa Ambulance,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,4.0,20.0,80,11
995,2020-03-20,Maricopa Ambulance,Ems,Stat Paq,AZ/MasCache,stat paq,10.0,1.0,10,11
1031,2020-03-20,Mesa Fire and Medical,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,5.0,20.0,100,11
1032,2020-03-20,Mesa Fire and Medical,Ems,Stat Paq,AZ/MasCache,stat paq,15.0,1.0,15,11
1068,2020-03-20,Paradise Valley PD,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,1.0,20.0,20,11
1069,2020-03-20,Paradise Valley PD,Ems,Stat Paq,AZ/MasCache,stat paq,3.0,1.0,3,11
1091,2020-03-20,Rio Verde Fire District,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
1092,2020-03-20,Rio Verde Fire District,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
1093,2020-03-20,Rio Verde Fire District,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
1128,2020-03-20,Scottsdale Fire and Police Dept.,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
1129,2020-03-20,Scottsdale Fire and Police Dept.,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
1130,2020-03-20,Scottsdale Fire and Police Dept.,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
1142,2020-03-20,Scottsdale Fire and Police Dept.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,3.0,20.0,60,11
1143,2020-03-20,Scottsdale Fire and Police Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,12.0,1.0,12,11
1179,2020-03-20,Sun City Fire and Medical Dept.,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,3.0,20.0,60,11
1180,2020-03-20,Sun City Fire and Medical Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,12.0,1.0,12,11
1202,2020-03-20,Surprise Fire and Medicla,Ems,"Gloves, (NITRILE), Small",AZ/MasCache,gloves,5.0,100.0,500,11
1203,2020-03-20,Surprise Fire and Medicla,Ems,"Gloves, (NITRILE), Medium",AZ/MasCache,gloves,5.0,100.0,500,11
1204,2020-03-20,Surprise Fire and Medicla,Ems,"Gloves, (NITRILE), Large",AZ/MasCache,gloves,5.0,100.0,500,11
1216,2020-03-20,Surprise Fire and Medicla,Ems,N95 Respirators [HM5210],AZ/MasCache,n95,5.0,20.0,100,11
1217,2020-03-20,Surprise Fire and Medicla,Ems,Stat Paq,AZ/MasCache,stat paq,15.0,1.0,15,11
1253,2020-03-20,Tempe Fire Medical Recue Dept.,Ems,Stat Paq,AZ/MasCache,stat paq,2.0,1.0,2,11
1289,2020-03-20,Valleywise Hospital,Acute,N95 Mask Universal [84A-3844],Maricopa,n95,24.0,20.0,480,11
1300,2020-03-30,Maricopa County Juvenile Probation Dept.,Juvenile,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",Maricopa,n95,54.0,20.0,1080,13
1371,2020-04-02,Avenir Memory Care,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,13
1376,2020-04-02,Avenir Memory Care,Ltcf,"Masks, N95, Med/Large",SNS,n95,35.0,20.0,700,13
1383,2020-04-02,Avenir Memory Care,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,17.0,30.0,510,13
1384,2020-04-02,Avenir Memory Care,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,28.0,18.0,504,13
1385,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,13
1386,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,13
1387,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,13
1389,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,13
1390,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,13
1392,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,13
1393,2020-04-02,Avenir Memory Care,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,13
1394,2020-04-02,Avenir Memory Care,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,42.0,24.0,1008,13
1402,2020-04-02,Avenir Memory Care,Ltcf,S N95 Masks [N95-S],SNS,n95,15.0,20.0,300,13
1408,2020-04-02,Express Urgent Care,Urgent care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,53.0,50.0,2650,13
1413,2020-04-02,Express Urgent Care,Urgent care,"Masks, N95, Med/Large",SNS,n95,90.0,20.0,1800,13
1419,2020-04-02,Express Urgent Care,Urgent care,"Gown, Surgical, Sterile, Large",SNS,gowns,3.0,30.0,90,13
1420,2020-04-02,Express Urgent Care,Urgent care,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,13
1421,2020-04-02,Express Urgent Care,Urgent care,"Gown, Surgical, Sterile, XXL",SNS,gowns,4.0,18.0,72,13
1422,2020-04-02,Express Urgent Care,Urgent care,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,13
1423,2020-04-02,Express Urgent Care,Urgent care,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,13
1424,2020-04-02,Express Urgent Care,Urgent care,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,13
1426,2020-04-02,Express Urgent Care,Urgent care,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,13
1427,2020-04-02,Express Urgent Care,Urgent care,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,13
1429,2020-04-02,Express Urgent Care,Urgent care,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,13
1430,2020-04-02,Express Urgent Care,Urgent care,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,13
1431,2020-04-02,Express Urgent Care,Urgent care,"Face Shield, Full Foam Top",SNS,face shield,35.0,24.0,840,13
1445,2020-04-02,Haven Health Group Management,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,105.0,50.0,5250,13
1446,2020-04-02,Haven Health Group Management,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,18.0,30.0,540,13
1456,2020-04-02,Haven Health Group Management,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,13
1457,2020-04-02,Haven Health Group Management,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,3.0,30.0,90,13
1458,2020-04-02,Haven Health Group Management,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,4.0,18.0,72,13
1459,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,13
1460,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,13
1461,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,13
1463,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,13
1464,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,13
1466,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,13
1467,2020-04-02,Haven Health Group Management,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,13
1468,2020-04-02,Haven Health Group Management,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,11.0,24.0,264,13
1513,2020-04-02,Maricopa County Human Services Dept.,County,Digital Thermometer [155912],Maricopa,thermometer,10.0,1.0,10,13
1514,2020-04-02,Maricopa County Human Services Dept.,County,Oral Sheaths for Digital Thermometer [18-D50],Maricopa,thermometer,6.0,50.0,300,13
1515,2020-04-02,Maricopa County Human Services Dept.,County,Digital Thermometer [16-413BGM],Maricopa,thermometer,12.0,1.0,12,13
1519,2020-04-02,Phoenix Fire Resource Management,Ems,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,321.0,50.0,16050,13
1520,2020-04-02,Phoenix Fire Resource Management,Ems,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,42.0,30.0,1260,13
1524,2020-04-02,Phoenix Fire Resource Management,Ems,"Masks, N95, Med/Large",SNS,n95,287.0,20.0,5740,13
1530,2020-04-02,Phoenix Fire Resource Management,Ems,"Gown, Surgical, Sterile, Large",SNS,gowns,34.0,30.0,1020,13
1531,2020-04-02,Phoenix Fire Resource Management,Ems,"Gown, Surgical, Sterile, XL",SNS,gowns,34.0,30.0,1020,13
1532,2020-04-02,Phoenix Fire Resource Management,Ems,"Gown, Surgical, Sterile, XXL",SNS,gowns,34.0,18.0,612,13
1533,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (LATEX), Small",SNS,gloves,33.0,100.0,3300,13
1534,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (LATEX), Medium",SNS,gloves,43.0,100.0,4300,13
1535,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (LATEX), Large",SNS,gloves,23.0,100.0,2300,13
1536,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (NITRILE), Small",SNS,gloves,18.0,100.0,1800,13
1537,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (NITRILE), Medium",SNS,gloves,28.0,100.0,2800,13
1538,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, (NITRILE), Large",SNS,gloves,33.0,100.0,3300,13
1540,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, non-latex (VINYL), Medium",SNS,gloves,5.0,100.0,500,13
1541,2020-04-02,Phoenix Fire Resource Management,Ems,"Gloves, non-latex (VINYL), Large",SNS,gloves,15.0,100.0,1500,13
1542,2020-04-02,Phoenix Fire Resource Management,Ems,"Face Shield, Full Foam Top",SNS,face shield,67.0,24.0,1608,13
1556,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,13
1560,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Masks, N95, Small",SNS,n95,21.0,20.0,420,13
1561,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Masks, N95, Med/Large",SNS,n95,29.0,20.0,580,13
1568,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,17.0,30.0,510,13
1569,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,28.0,18.0,504,13
1570,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,13
1571,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,13
1572,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,13
1574,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,13
1575,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,13
1577,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,13
1578,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,13
1579,2020-04-02,Surprise Health and Rehab Center,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,42.0,24.0,1008,13
1619,2020-05-04,Life Care Center,Ltcf,Hand Sanitizer,SNS,hand sanitizer,4.0,1.0,4,18
1635,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Masks, N95, Med/Large",SNS,n95,2.0,20.0,40,19
1641,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,19
1643,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,19
1644,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,5.0,100.0,500,19
1645,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,5.0,100.0,500,19
1646,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,5.0,100.0,500,19
1647,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,19
1648,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,19
1649,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,19
1651,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,19
1652,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,19
1653,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,19
1657,2020-05-11,Villa Ocotillo Assisted Living and Memory,Ltcf,Rain Coats,SNS,alt. gowns,57.0,1.0,57,19
1667,2020-05-06,Avenir Memory,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,20.0,50.0,1000,18
1668,2020-05-06,Avenir Memory,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,1.0,30.0,30,18
1669,2020-05-06,Avenir Memory,Ltcf,"Mask, N95 Particulate Respirator NIOSH [Gerson], One-Size",SNS,n95,1.0,20.0,20,18
1681,2020-05-06,Avenir Memory,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,3.0,100.0,300,18
1682,2020-05-06,Avenir Memory,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,18
1683,2020-05-06,Avenir Memory,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,18
1686,2020-05-06,Avenir Memory,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,18
1690,2020-05-06,Avenir Memory,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,21.0,24.0,504,18
1696,2020-05-06,Avenir Memory,Ltcf,Reusable Gowns,Maricopa,alt. gowns,2.5,20.0,50,18
1715,2020-05-06,Brookdale Central Chandler,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,18
1717,2020-05-06,Brookdale Central Chandler,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,18
1727,2020-05-06,Brookdale Central Chandler,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,18
1742,2020-05-11,Christian Care Center,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,5.0,30.0,150,19
1755,2020-05-11,Christian Care Center,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,19
1756,2020-05-11,Christian Care Center,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,19
1759,2020-05-11,Christian Care Center,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,19
1760,2020-05-11,Christian Care Center,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,19
1764,2020-05-11,Christian Care Center,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,2.0,24.0,48,19
1770,2020-05-11,Christian Care Center,Ltcf,Surgical Gowns,Donations,gowns,3.0,30.0,90,19
1771,2020-05-11,Christian Care Center,Ltcf,Disposable ZZL Gown,Donations,gowns,1.0,10.0,10,19
1778,2020-05-11,Community Options San Gabriel,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,6.0,50.0,300,19
1779,2020-05-11,Community Options San Gabriel,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,19
1783,2020-05-11,Community Options San Gabriel,Ltcf,"Masks, N95, Med/Large",SNS,n95,2.0,20.0,40,19
1791,2020-05-11,Community Options San Gabriel,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,1.0,18.0,18,19
1792,2020-05-11,Community Options San Gabriel,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,19
1793,2020-05-11,Community Options San Gabriel,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,19
1794,2020-05-11,Community Options San Gabriel,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,19
1797,2020-05-11,Community Options San Gabriel,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,19
1801,2020-05-11,Community Options San Gabriel,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,19
1815,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,2.0,50.0,100,18
1816,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,n95,2.0,30.0,60,18
1818,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Mask, N95 Particulate Respirator NIOSH [3M 1860], One-Size",SNS,n95,1.0,20.0,20,18
1829,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,18
1830,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,18
1831,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,18
1838,2020-05-08,Brendel and Associates - Emerson House,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,1.0,24.0,24,18
